"msf";"ECO";0.00;
"msf";"STD";0.00;
"msf";"LUS";20.00;
"msh";"ECO";150.00;
"msh";"STD";200.00;
"msh";"LUS";0.00;
"oam";"ECO";80.00;
"oam";"STD";100.00;
"oam";"LUS";0.00;
"oap";"ECO";0.00;
"oap";"STD";0.00;
"oap";"LUS";100.00;
"ocl";"ECO";95.00;
"ocl";"STD";110.00;
"ocl";"LUS";0.00;
"oco";"ECO";500.00;
"oco";"STD";600.00;
"oco";"LUS";0.00;
"odv";"ECO";80.00;
"odv";"STD";100.00;
"odv";"LUS";0.00;
"oed";"ECO";95.00;
"oed";"STD";115.00;
"oed";"LUS";0.00;
"oei";"ECO";110.00;
"oei";"STD";130.00;
"oei";"LUS";0.00;
"oem";"ECO";95.00;
"oem";"STD";115.00;
"oem";"LUS";0.00;
"oes";"ECO";95.00;
"oes";"STD";115.00;
"oes";"LUS";0.00;
"oin";"ECO";95.00;
"oin";"STD";115.00;
"oin";"LUS";0.00;
"oog";"ECO";0.00;
"oog";"STD";0.00;
"oog";"LUS";140.00;
"orf";"ECO";2000.00;
"orf";"STD";2500.00;
"orf";"LUS";0.00;
"orp";"ECO";1800.00;
"orp";"STD";0.00;
"orp";"LUS";0.00;
"ort";"ECO";2000.00;
"ort";"STD";2500.00;
"ort";"LUS";0.00;
"oso";"ECO";95.00;
"oso";"STD";110.00;
"oso";"LUS";0.00;
"oss";"ECO";105.00;
"oss";"STD";125.00;
"oss";"LUS";0.00;
"otd";"ECO";65.00;
"otd";"STD";85.00;
"otd";"LUS";0.00;
"ovc";"ECO";95.00;
"ovc";"STD";115.00;
"ovc";"LUS";0.00;
"p";"ECO";60.00;
"p";"STD";80.00;
"p";"LUS";25.00;
"paz";"ECO";0.00;
"paz";"STD";0.00;
"paz";"LUS";0.00;
"pc";"ECO";207.00;
"pc";"STD";200.00;
"pc";"LUS";0.00;
"pci";"ECO";1400.00;
"pci";"STD";1600.00;
"pci";"LUS";0.00;
"pcs";"ECO";1400.00;
"pcs";"STD";1600.00;
"pcs";"LUS";0.00;
"pmo";"ECO";160.00;
"pmo";"STD";180.00;
"pmo";"LUS";80.00;
"por";"ECO";150.00;
"por";"STD";200.00;
"por";"LUS";0.00;
"pot";"ECO";600.00;
"pot";"STD";800.00;
"pot";"LUS";0.00;
"ppv";"ECO";350.00;
"ppv";"STD";450.00;
"ppv";"LUS";150.00;
"pre";"ECO";0.00;
"pre";"STD";0.00;
"pre";"LUS";100.00;
"prm";"ECO";700.00;
"prm";"STD";900.00;
"prm";"LUS";0.00;
"pti";"ECO";1200.00;
"pti";"STD";1400.00;
"pti";"LUS";280.00;
"pts";"ECO";1200.00;
"pts";"STD";1400.00;
"pts";"LUS";280.00;
"pud";"ECO";55.00;
"pud";"STD";75.00;
"pud";"LUS";0.00;
"pvm";"ECO";90.00;
"pvm";"STD";110.00;
"pvm";"LUS";50.00;
"rag";"ECO";103.00;
"rag";"STD";123.00;
"rag";"LUS";0.00;
"ram";"ECO";80.00;
"ram";"STD";100.00;
"ram";"LUS";0.00;
"rco";"ECO";75.00;
"rco";"STD";100.00;
"rco";"LUS";0.00;
"rcp";"ECO";160.00;
"rcp";"STD";180.00;
"rcp";"LUS";0.00;
"rei";"ECO";120.00;
"rei";"STD";140.00;
"rei";"LUS";0.00;
"res";"ECO";95.00;
"res";"STD";115.00;
"res";"LUS";0.00;
"rib";"ECO";110.00;
"rib";"STD";130.00;
"rib";"LUS";80.00;
"rim";"ECO";100.00;
"rim";"STD";150.00;
"rim";"LUS";0.00;
"rio";"ECO";260.00;
"rio";"STD";300.00;
"rio";"LUS";0.00;
"rip";"ECO";55.00;
"rip";"STD";75.00;
"rip";"LUS";40.00;
"ris";"ECO";1000.00;
"ris";"STD";1200.00;
"ris";"LUS";0.00;
"riz";"ECO";155.00;
"riz";"STD";175.00;
"riz";"LUS";0.00;
"rpd";"ECO";250.00;
"rpd";"STD";300.00;
"rpd";"LUS";0.00;
"rpe";"ECO";180.00;
"rpe";"STD";200.00;
"rpe";"LUS";0.00;
"rtc";"ECO";250.00;
"rtc";"STD";300.00;
"rtc";"LUS";0.00;
"rvg";"ECO";5.00;
"rvg";"STD";7.00;
"rvg";"LUS";0.00;
"sal";"ECO";0.00;
"sal";"STD";0.00;
"sal";"LUS";25.00;
"san";"ECO";50.00;
"san";"STD";0.00;
"san";"LUS";0.00;
"sca";"ECO";1300.00;
"sca";"STD";1500.00;
"sca";"LUS";380.00;
"sch";"ECO";1100.00;
"sch";"STD";1300.00;
"sch";"LUS";310.00;
"scp";"ECO";50.00;
"scp";"STD";0.00;
"scp";"LUS";0.00;
"sdp";"ECO";500.00;
"sdp";"STD";600.00;
"sdp";"LUS";0.00;
"sga";"ECO";1200.00;
"sga";"STD";1400.00;
"sga";"LUS";340.00;
"sig";"ECO";25.00;
"sig";"STD";30.00;
"sig";"LUS";0.00;
"sld";"ECO";0.00;
"sld";"STD";0.00;
"sld";"LUS";25.00;
"sol";"ECO";13.00;
"sol";"STD";15.00;
"sol";"LUS";0.00;
"sot";"ECO";20.00;
"sot";"STD";25.00;
"sot";"LUS";0.00;
"spl";"ECO";150.00;
"spl";"STD";200.00;
"spl";"LUS";0.00;
"tc";"ECO";100.00;
"tc";"STD";150.00;
"tc";"LUS";0.00;
"tc2";"ECO";200.00;
"tc2";"STD";250.00;
"tc2";"LUS";0.00;
"tc3";"ECO";250.00;
"tc3";"STD";300.00;
"tc3";"LUS";0.00;
"tit";"ECO";775.00;
"tit";"STD";875.00;
"tit";"LUS";170.00;
"tre";"ECO";420.00;
"tre";"STD";520.00;
"tre";"LUS";0.00;
"vis";"ECO";0.00;
"vis";"STD";0.00;
"vis";"LUS";0.00;
"wc";"ECO";620.00;
"wc";"STD";720.00;
"wc";"LUS";125.00;
"wcp";"ECO";0.00;
"wcp";"STD";0.00;
"wcp";"LUS";135.00;
"wec";"ECO";0.00;
"wec";"STD";0.00;
"wec";"LUS";135.00;
"wer";"ECO";500.00;
"wer";"STD";600.00;
"wer";"LUS";105.00;
"wr";"ECO";370.00;
"wr";"STD";400.00;
"wr";"LUS";90.00;
"wz";"ECO";750.00;
"wz";"STD";750.00;
"wz";"LUS";210.00;
"x";"ECO";0.00;
"x";"STD";0.00;
"x";"LUS";0.00;
